market_id,platform,category,open_ts,close_ts,outcome,predicted,signal_offset_ms,bid_side,bid_price,shares,filled,queue_ahead_at_place,fill_time_ms,correct,realistic_pnl,naive_pnl,ref_price_open,ref_price_close
btc-updown-15m-1771505100,polymarket,btc,1771505100,1771506000,NO,NO,-28661,NO,0.49,10.0,true,142.45,12419,true,5.1,5.1,66619.06,66532.29
btc-updown-5m-1771505100,polymarket,btc,1771505100,1771505400,NO,YES,-28650,YES,0.49,10.0,true,121.07,6527,true,0.1999999999999993,0.1999999999999993,66619.06,66555.98
eth-updown-15m-1771505100,polymarket,eth,1771505100,1771506000,NO,YES,-28910,YES,0.49,10.0,true,0.0,-3668,true,0.1999999999999993,0.1999999999999993,66619.06,66516.67
sol-updown-15m-1771505100,polymarket,sol,1771505100,1771506000,NO,YES,-28893,YES,0.49,10.0,true,292.94,56087,true,0.1999999999999993,0.1999999999999993,66619.06,66516.67
xrp-updown-15m-1771505100,polymarket,xrp,1771505100,1771506000,NO,YES,-28556,YES,0.49,10.0,true,335.13,51780,true,0.1999999999999993,0.1999999999999993,66619.06,66532.29
btc-updown-5m-1771505700,polymarket,btc,1771505700,1771506000,NO,YES,-28558,YES,0.49,10.0,true,684.14,27119,true,0.1999999999999993,0.1999999999999993,66538.66,66515.63
btc-updown-5m-1771506300,polymarket,btc,1771506300,1771506600,NO,NO,-27772,NO,0.49,10.0,true,0.0,81007,true,5.1,5.1,66450.38,66349.66
btc-updown-15m-1771506900,polymarket,btc,1771506900,1771507800,NO,YES,-28759,YES,0.49,10.0,true,1242.59,-14108,true,0.1999999999999993,0.1999999999999993,66396.61,66157.0
btc-updown-5m-1771506900,polymarket,btc,1771506900,1771507200,NO,YES,-28747,YES,0.49,10.0,true,338.0,6275,true,0.1999999999999993,0.1999999999999993,66396.61,66216.59
eth-updown-15m-1771506900,polymarket,eth,1771506900,1771507800,NO,NO,-28382,NO,0.49,10.0,true,0.0,27520,true,5.1,5.1,66396.61,66157.01
sol-updown-15m-1771506900,polymarket,sol,1771506900,1771507800,NO,YES,-28525,YES,0.49,10.0,true,502.65,-1693,true,0.1999999999999993,0.1999999999999993,66396.61,66182.63
xrp-updown-15m-1771506900,polymarket,xrp,1771506900,1771507800,NO,YES,-28175,YES,0.49,10.0,true,45.38,1564,true,0.1999999999999993,0.1999999999999993,66396.61,66182.63
btc-updown-5m-1771507500,polymarket,btc,1771507500,1771507800,NO,YES,-28285,YES,0.49,10.0,true,1036.74,-24056,true,0.1999999999999993,0.1999999999999993,66239.54,66157.01
btc-updown-5m-1771508100,polymarket,btc,1771508100,1771508400,NO,YES,-28137,YES,0.49,10.0,true,318.41,-11677,true,0.1999999999999993,0.1999999999999993,66246.19,66087.66
